tracker_id,vehicle_type,status,compliance,reaction_time,date
43,truck,moving,0,,2025-05-28 10:36:51
44,truck,moving,0,,2025-05-28 10:36:51
45,truck,stationary,1,1.53,2025-05-28 10:36:53
46,car,moving,0,,2025-05-28 10:39:54
47,car,stationary,1,1.41,2025-05-28 10:40:02
48,car,stationary,1,2.6,2025-05-28 10:40:28
49,car,stationary,1,1.9,2025-05-28 10:41:01
50,car,moving,0,,2025-05-28 10:41:17
51,car,moving,0,,2025-05-28 10:41:29
52,car,stationary,1,1.47,2025-05-28 10:41:38
53,car,stationary,1,1.77,2025-05-28 10:41:59
54,car,stationary,1,1.8,2025-05-28 10:42:17
55,car,stationary,1,1.92,2025-05-28 10:42:31
56,truck,stationary,1,1.87,2025-05-28 10:43:07
57,car,stationary,1,2.96,2025-05-28 10:44:20
58,car,stationary,1,1.74,2025-05-28 10:45:25
68,car,stationary,1,2.5,2025-05-28 10:45:40
69,car,stationary,1,4.02,2025-05-28 10:46:01
73,car,stationary,1,2.48,2025-05-28 10:46:19
71,car,stationary,1,4.05,2025-05-28 10:46:38
75,car,stationary,1,1.82,2025-05-28 10:47:04
77,car,stationary,1,2.04,2025-05-28 10:47:21
78,car,moving,0,,2025-05-28 10:56:16
79,car,stationary,1,1.53,2025-05-28 10:56:34
80,car,stationary,1,1.87,2025-05-28 10:56:45
81,car,moving,0,,2025-05-28 10:56:45
82,car,moving,0,,2025-05-28 10:56:45
83,truck,moving,0,,2025-05-28 10:56:44
84,car,moving,0,,2025-05-28 11:02:19
85,car,stationary,1,1.71,2025-05-28 11:02:31
86,car,stationary,1,4.63,2025-05-28 11:03:42
87,car,stationary,1,2.3,2025-05-28 11:05:23
88,car,stationary,1,1.96,2025-05-28 11:05:34
89,truck,stationary,1,2.01,2025-05-28 11:05:52
90,car,stationary,1,1.83,2025-05-28 11:06:05
91,car,stationary,1,2.24,2025-05-28 11:06:20
101,car,stationary,1,1.95,2025-05-28 11:06:34
102,car,stationary,1,1.87,2025-05-28 11:06:44
106,car,stationary,1,1.69,2025-05-28 11:06:52
104,car,stationary,1,1.61,2025-05-28 11:07:02
108,car,stationary,1,1.93,2025-05-28 11:07:04
109,car,moving,0,,2025-05-28 11:07:26
110,car,moving,0,,2025-05-28 11:07:45
111,car,moving,0,,2025-05-28 11:23:43
112,car,stationary,1,1.5,2025-05-28 11:23:57
113,car,stationary,1,1.99,2025-05-28 11:24:30
114,car,stationary,1,1.67,2025-05-28 11:24:30
115,car,moving,0,,2025-05-28 11:27:57
116,car,stationary,1,1.54,2025-05-28 11:27:57
117,car,moving,0,,2025-05-28 11:29:56
118,car,stationary,1,1.19,2025-05-28 11:30:00
119,car,stationary,1,1.37,2025-05-28 11:30:25
120,car,stationary,1,1.31,2025-05-28 11:30:34
122,car,stationary,1,1.06,2025-05-28 11:31:12
123,car,stationary,1,1.03,2025-05-28 11:31:23
128,car,stationary,1,0.97,2025-05-28 11:31:23
126,car,stationary,1,1.17,2025-05-28 11:31:23
129,car,stationary,1,0.76,2025-05-28 11:31:47
130,car,stationary,1,0.76,2025-05-28 11:31:54
132,car,stationary,1,1.08,2025-05-28 11:32:29
133,car,stationary,1,1.1,2025-05-28 11:32:29
138,car,stationary,1,1.02,2025-05-28 11:32:29
139,car,stationary,1,0.82,2025-05-28 11:32:49
140,car,stationary,1,1.04,2025-05-28 11:32:57
142,car,stationary,1,0.99,2025-05-28 11:33:34
143,car,stationary,1,1.45,2025-05-28 11:33:34
148,car,stationary,1,1.28,2025-05-28 11:33:34
149,car,moving,0,,2025-05-28 11:33:54
150,car,stationary,1,2.76,2025-05-28 11:34:00
153,car,stationary,1,3.9,2025-05-28 11:34:30
154,car,stationary,1,2.35,2025-05-28 11:34:30
156,car,stationary,1,0.94,2025-05-28 11:34:30
157,car,moving,0,,2025-05-28 11:34:56
158,car,stationary,1,1.53,2025-05-28 11:35:07
161,car,stationary,1,1.96,2025-05-28 11:35:42
163,car,stationary,1,1.46,2025-05-28 11:35:42
166,car,stationary,1,2.14,2025-05-28 11:35:42
167,car,moving,0,,2025-05-28 11:36:07
168,car,stationary,1,1.44,2025-05-28 11:36:20
169,car,stationary,1,2.23,2025-05-28 11:37:00
170,car,stationary,1,1.66,2025-05-28 11:37:00
171,car,moving,0,,2025-05-28 11:58:18
172,car,stationary,1,1.49,2025-05-28 11:58:30
173,car,stationary,1,1.91,2025-05-28 11:58:40
174,car,moving,0,,2025-05-27 21:59:23
175,car,moving,0,,2025-05-28 11:59:57
176,car,stationary,1,1.55,2025-05-28 12:00:08
177,car,stationary,1,1.55,2025-05-28 12:00:28
178,car,moving,0,,2025-05-28 12:00:28
179,car,moving,0,,2025-05-28 12:03:10
180,car,stationary,1,1.9,2025-05-28 12:03:22
181,car,stationary,1,1.77,2025-05-28 12:04:20
182,car,stationary,1,1.7,2025-05-28 12:04:49
183,car,stationary,1,1.62,2025-05-28 12:04:49
184,truck,stationary,1,1.86,2025-05-28 12:04:49
185,car,moving,0,,2025-05-27 22:05:27
186,car,stationary,1,1.27,2025-05-27 22:05:27
187,car,moving,0,,2025-05-27 22:06:53
188,car,stationary,1,1.58,2025-05-27 22:07:05
189,car,stationary,1,1.65,2025-05-27 22:07:12
190,car,moving,0,,2025-05-28 12:08:30
191,car,stationary,1,1.33,2025-05-28 12:08:40
192,car,stationary,1,1.64,2025-05-28 12:09:38
193,car,stationary,1,1.6,2025-05-28 12:11:10
194,car,stationary,1,1.76,2025-05-28 12:11:19
195,truck,stationary,1,1.63,2025-05-28 12:11:32
196,car,stationary,1,1.56,2025-05-28 12:11:42
197,car,stationary,1,1.53,2025-05-28 12:11:55
207,car,stationary,1,1.52,2025-05-28 12:12:08
208,car,stationary,1,1.59,2025-05-28 12:12:17
212,car,stationary,1,1.59,2025-05-28 12:12:24
210,car,stationary,1,1.55,2025-05-28 12:12:24
